home_win_rate,away_win_rate,home_avg_goals,away_avg_goals,home_last5_points,away_last5_points,home_form,away_form,home_goal_difference,away_goal_difference,home_avg_conceded,away_avg_conceded,home_avg_shots,away_avg_shots,home_streak,away_streak,target
0.2,0.2,1.0,0.8,4,5,1,3,-0.6000000000000001,-0.5999999999999999,1.6,1.4,10.6,12.2,0,-2,D
0.6,0.4,1.4,1.2,9,7,6,4,0.19999999999999996,-0.19999999999999996,1.2,1.4,13.0,10.6,2,1,A
0.2,0.6,0.8,1.2,4,9,1,3,-1.0,0.0,1.8,1.2,15.6,9.8,-2,2,H
0.4,0.6,2.0,1.2,9,11,6,5,1.4,1.0,0.6,0.2,12.6,9.6,0,0,H
0.0,0.6,0.2,2.0,1,10,0,4,-1.4000000000000001,1.0,1.6,1.0,12.8,11.6,-3,2,D
0.4,0.4,1.8,0.6,6,8,0,4,0.19999999999999996,-0.6,1.6,1.2,15.6,8.2,1,1,D
0.0,0.8,0.4,2.0,0,13,0,9,-1.8000000000000003,1.2,2.2,0.8,8.6,14.2,-5,0,A
0.2,0.6,1.4,2.2,5,11,1,2,0.19999999999999996,1.6,1.2,0.6,13.8,14.0,0,1,A
0.4,0.4,1.8,1.6,8,8,3,1,0.6000000000000001,1.0,1.2,0.6,11.2,18.4,0,0,A
0.6,0.0,1.4,0.4,10,2,3,1,0.5999999999999999,-0.7999999999999999,0.8,1.2,11.4,12.0,2,0,H
0.4,0.2,1.2,1.0,6,5,3,3,-0.8,-0.3999999999999999,2.0,1.4,9.6,9.8,-1,0,D
0.4,0.4,1.2,1.2,8,6,6,3,0.6,-0.40000000000000013,0.6,1.6,7.4,13.8,-1,-1,A
0.8,0.4,2.0,1.6,13,7,4,3,1.0,0.20000000000000018,1.0,1.4,14.4,18.8,1,1,H
0.2,0.0,0.8,0.6,5,0,1,0,-0.5999999999999999,-1.4,1.4,2.0,10.2,9.8,0,-5,D
0.2,0.4,0.8,1.2,4,7,3,6,-1.0,0.3999999999999999,1.8,0.8,10.2,17.2,0,0,A
0.4,0.4,0.6,1.0,8,7,4,3,-0.6,-0.6000000000000001,1.2,1.6,8.6,13.6,0,1,H
0.4,0.6,1.2,1.4,7,10,4,6,0.3999999999999999,0.19999999999999996,0.8,1.2,14.6,13.6,-2,0,H
0.6,0.8,1.6,3.0,9,13,3,9,0.6000000000000001,1.6,1.0,1.4,15.0,16.2,1,2,D
0.4,0.2,1.2,1.4,7,5,1,4,0.3999999999999999,-1.0,0.8,2.4,18.0,11.8,1,-1,H
0.2,0.4,0.8,1.6,6,7,2,4,-0.19999999999999996,0.40000000000000013,1.0,1.2,9.2,11.6,0,-1,D
0.0,0.4,0.6,1.4,1,7,1,0,-1.0,0.5999999999999999,1.6,0.8,12.8,14.0,-1,1,H
0.6,0.4,1.8,1.4,11,7,7,3,1.6,-0.40000000000000013,0.2,1.8,16.2,11.2,1,0,H
0.0,0.6,0.8,1.2,1,10,0,4,-1.2,0.6,2.0,0.6,9.0,11.4,0,3,A
0.4,0.4,2.0,0.8,6,8,3,4,-0.6000000000000001,-0.5999999999999999,2.6,1.4,17.2,8.6,-1,1,H
0.4,0.0,1.2,0.6,7,3,4,1,-0.6000000000000001,-0.7999999999999999,1.8,1.4,11.8,13.0,-1,0,D
0.6,0.2,3.0,0.8,11,4,6,1,2.4,-1.4000000000000001,0.6,2.2,12.0,9.0,2,-1,D
0.4,0.2,1.0,0.8,6,5,3,2,-0.8,-0.19999999999999996,1.8,1.0,12.6,8.2,-1,-2,D
0.2,0.6,1.4,1.8,5,10,1,6,-1.2000000000000002,0.8,2.6,1.0,12.0,13.8,-2,0,D
0.4,0.6,1.6,1.6,6,10,6,6,0.20000000000000018,1.2000000000000002,1.4,0.4,15.2,19.2,-1,2,D
0.4,0.2,1.2,1.2,8,5,3,3,0.6,-0.8,0.6,2.0,10.2,12.8,0,0,D
0.4,0.0,0.8,0.8,8,1,4,1,0.20000000000000007,-1.2,0.6,2.0,9.6,6.8,-1,-1,H
0.6,0.2,2.8,0.8,11,4,4,0,1.4,-1.0,1.4,1.8,15.0,12.6,0,0,H
0.0,0.4,0.8,2.0,2,6,0,0,-1.5999999999999999,-0.6000000000000001,2.4,2.6,6.6,14.8,0,1,A
0.0,0.2,0.8,1.0,3,4,1,0,-0.8,-0.3999999999999999,1.6,1.4,13.4,13.2,0,1,A
0.4,0.6,1.4,3.0,7,11,4,4,-0.40000000000000013,2.4,1.8,0.6,11.0,14.2,-1,0,D
0.8,0.2,1.4,1.0,13,6,6,4,0.9999999999999999,-0.3999999999999999,0.4,1.4,9.8,10.6,4,0,A
0.6,0.6,2.4,1.6,11,11,7,7,1.2,1.4000000000000001,1.2,0.2,14.2,18.0,1,0,H
0.0,0.0,0.6,0.6,3,1,2,1,-2.0,-1.2000000000000002,2.6,1.8,9.2,7.4,0,-2,H
0.2,0.6,1.0,2.8,5,9,3,3,-0.19999999999999996,0.7999999999999998,1.2,2.0,8.4,16.0,0,2,H
0.0,0.4,0.6,1.2,2,7,0,3,-1.7999999999999998,0.19999999999999996,2.4,1.0,5.6,13.2,-1,2,A
0.0,0.2,0.6,0.8,3,4,1,0,-0.7999999999999999,-0.3999999999999999,1.4,1.2,13.6,12.6,-1,-1,D
0.2,0.4,1.0,1.6,5,8,5,4,-0.8,0.6000000000000001,1.8,1.0,9.8,14.6,0,0,A
0.2,0.6,1.2,1.2,4,11,4,4,-0.19999999999999996,1.0,1.4,0.2,13.8,14.6,0,2,A
0.2,0.4,0.8,2.2,6,9,4,5,0.4,1.6,0.4,0.6,9.8,14.2,0,0,H
0.0,0.0,0.6,0.8,1,2,0,0,-1.0,-1.2,1.6,2.0,8.2,9.0,-3,-1,H
0.6,0.8,0.8,2.8,10,13,6,4,0.4,1.4,0.4,1.4,9.0,15.8,1,2,A
0.2,0.8,1.4,1.2,5,12,4,6,-0.20000000000000018,0.7999999999999999,1.6,0.4,11.6,9.2,0,-1,A
0.6,0.0,1.4,1.2,11,4,4,2,0.9999999999999999,-0.19999999999999996,0.4,1.4,15.0,13.8,3,0,H
0.2,0.0,1.2,0.4,5,4,3,1,0.0,-0.4,1.2,0.8,11.2,9.2,1,0,D
0.6,0.2,2.0,0.8,10,5,4,1,1.2,-1.5999999999999999,0.8,2.4,13.8,7.8,3,1,D
0.0,0.2,0.6,1.4,5,4,3,0,0.0,-0.40000000000000013,0.6,1.8,11.0,13.6,0,-1,A
